District,Longitude,Latitude
Chibombo,17,-85
Lusungu,107,142
Lufwanyama,-26,9
Kabwe,29,-64
Kapiri Mposhi,1,-48
Livingstone,-108,-241
Mkushi,86,-52
Mumbwa,-90,-91
Sesheke,-204,-203
Serenje,134,4
Shangombo,-273,-187
Chililabombwe,0,43
Chingola,-3,36
Kalulushi,7,25
Kitwe,23,12
Luanshya,24,4
Lufwanyama,-26,9
Masaiti,-41,-8
Mpongwe,-20,-22
Mufulira,24,27
Ndola,42,12
Chadiza,246,-45
Chama,263,99
Senangu,-242,-145
Mongu,-246,-108
Chipata,244,-22
Kaoma,-190,-98
Katete,216,-44
Lukulu,-255,-66
Lundazi,252,30
Kalabo,-304,-107
Mambwe,216,-3
Nyimba,132,-74
Petauke,182,-47
Sinda,159,-52
Chienge,70,224
Kawambwa,69,178
Mansa,45,104
Milenge,70,68
Mwense,58,144
Nchelenge,43,200
Samfya,102,83
Chongwe,69,-105
Kafue,41,-131
Luangwa,109,-115
Lusaka,29,-107
Chinsali,215,126
Isoka,271,157
Mpika,178,54
Nakonde,257,192
Chavuma,-302,1
Kabompo,-214,-23
Kasempa,-106,-31
Mufumbwe,-165,-29
Mwinilunga,-196,79
Solwezi,-124,46
Zambezi,-274,-21
Chilubi,131,115
Kaputa,107,224
Kasama,172,142
Mbala,205,209
Mporokoso,123,182
Mpulungu,159,217
Mungwi,207,169
Choma,-50,-181
Gwembe,-3,-178
Itezhi-Tezhi,-123,-121
Kalomo,-80,-213
Kazungula,-130,-205
Mazabuka,-1,-142
Monze,-33,-154
Namwala,-62,-141
Siavonga,33,-167
Sinazongwe,-3,-221
